Identifier,Response,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Successful,Error Log,Web Search Sources,Cost,Batch,Pair,IdA,IdB
69b8f410,,,71895,,,,False,['Connection error.'],,0.0035947500000000003,0,21,CBA_02,CBA_06
7a36924b,,,19691,,,,False,['Connection error.'],,0.00098455,0,22,CBA_08,CBA_20
c7bf4bf1,,,77089,,,,False,['Connection error.'],,0.0038544500000000006,0,23,CBA_09,CBA_10
f223277d,,,62855,,,,False,['Connection error.'],,0.0031427499999999997,0,20,CBA_03,CBA_04
209a88e7,,,53943,,,,False,['Connection error.'],,0.00269715,0,17,CBA_02,CBA_18
180413d2,,,65687,,,,False,['Connection error.'],,0.00328435,0,12,CBA_01,CBA_16
c26e6a32,,,23783,,,,False,['Connection error.'],,0.00118915,0,11,CBA_17,CBA_19
ee29403c,,,32211,,,,False,['Connection error.'],,0.0016105499999999999,0,4,CBA_03,CBA_20
2c04f729,,,61359,,,,False,['Connection error.'],,0.00306795,0,24,CBA_05,CBA_11
36c7ae60,,,49665,,,,False,['Connection error.'],,0.00248325,0,15,CBA_10,CBA_14
0b174807,,,34047,,,,False,['Connection error.'],,0.00170235,0,8,CBA_14,CBA_17
3edb5ac8,,,40194,,,,False,['Connection error.'],,0.0020097,0,25,CBA_06,CBA_13
63108506,,,54656,,,,False,['Connection error.'],,0.0027328000000000005,0,27,CBA_07,CBA_12
bc8a3b1f,,,56475,,,,False,['Connection error.'],,0.00282375,0,14,CBA_09,CBA_19
35601171,,,59031,,,,False,['Connection error.'],,0.0029515500000000003,0,3,CBA_15,CBA_16
5e7b725d,,,65476,,,,False,['Connection error.'],,0.0032738000000000003,0,5,CBA_07,CBA_09
15e7f787,,,18012,,,,False,['Connection error.'],,0.0009006000000000001,0,9,CBA_08,CBA_18
87cef32b,,,46538,,,,False,['Connection error.'],,0.0023269000000000002,0,29,CBA_03,CBA_07
3502f0d8,,,44397,,,,False,['Connection error.'],,0.00221985,0,19,CBA_10,CBA_17
2fe2d5c6,,,49245,,,,False,['Connection error.'],,0.00246225,0,28,CBA_11,CBA_12
263d9660,,,50119,,,,False,['Connection error.'],,0.00250595,0,1,CBA_01,CBA_15
ba55e3ce,,,22242,,,,False,['Connection error.'],,0.0011121000000000002,0,6,CBA_13,CBA_18
904c7379,,,41585,,,,False,['Connection error.'],,0.00207925,0,10,CBA_13,CBA_15
2a425fd4,,,38779,,,,False,['Connection error.'],,0.00193895,0,13,CBA_04,CBA_20
a4fd92dc,,,48728,,,,False,['Connection error.'],,0.0024364,0,0,CBA_01,CBA_06
21c8c084,,,85675,,,,False,['Connection error.'],,0.00428375,0,2,CBA_05,CBA_16
89a9fa5a,,,29051,,,,False,['Connection error.'],,0.0014525500000000002,0,16,CBA_14,CBA_19
0290a7e9,,,64538,,,,False,['Connection error.'],,0.0032269,0,7,CBA_02,CBA_11
c7c74342,,,63999,,,,False,['Connection error.'],,0.00319995,0,18,CBA_05,CBA_08
e176b24f,,,70973,,,,False,['Connection error.'],,0.00354865,0,26,CBA_04,CBA_12
